ID,UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
161,G-138,Q1074,3/15/1968 0:00:00,M,E,Q1074,rb,1968,Removed,,5/21/1971 0:00:00,14.16,,3.16,,
162,F-449,Q1074,3/17/1969 0:00:00,M,E,Q1074,r,1969,Removed,,4/30/1971 0:00:00,15.16,,2.08,,
163,F-615,Q1074,2/25/1970 0:00:00,F,E,Q1074,rb,1970,Removed,,10/27/1971 0:00:00,16.08,,1.66,,
164,F-675,Q1074,3/8/1971 0:00:00,M,E,Q1074,rc,1971,Removed,,4/26/1971 0:00:00,17.16,,0.08,,
165,K-332,Q1071,1/1/1955 0:00:00,F,U,Q1071,d**,1955,DEAD,3/17/1965 0:00:00,,17.00,10.16,,,
166,I-222,Q1071,6/26/1956 0:00:00,U,U,Q1071,d,1956,DEAD,6/28/1956 0:00:00,,18.41,0.00,,,
167,K-342,Q1071,6/26/1956 0:00:00,M,U,Q1071,dm,1956,DEAD,8/31/1957 0:00:00,,18.41,1.16,,,
168,G-566,Q1071,3/1/1959 0:00:00,F,U,Q1071,d,1959,DEAD,3/26/1959 0:00:00,,21.16,0.00,,,
169,G-565,Q1071,3/1/1959 0:00:00,F,U,Q1071,r,1959,Removed,,5/21/1959 0:00:00,21.16,,0.16,,
170,J-778,Q1069,3/4/1960 0:00:00,M,G,Q1069,r,1960,Removed,,9/12/1961 0:00:00,5.16,,1.50,,
171,I-252,Q1069,3/22/1961 0:00:00,M,H,Q1069,r,1961,Removed,,4/24/1962 0:00:00,6.16,,1.08,,
172,K-222,Q1069,4/4/1962 0:00:00,M,H,Q1069,rs**,1962,Removed,,4/7/1972 0:00:00,7.25,,10.00,,
173,I-283,Q1069,3/8/1963 0:00:00,M,H,Q1069,dm,1963,DEAD,4/3/1964 0:00:00,,8.16,1.08,,,
174,K-937,Q1069,2/15/1964 0:00:00,M,H,Q1069,rs**,1964,Removed,,3/1/1984 0:00:00,9.08,,20.08,,
175,K-158,Q1069,2/5/1966 0:00:00,F,H,Q1069,rs,1966,Removed,,8/1/1972 0:00:00,11.08,,6.50,,
176,F-663,Q1069,3/4/1967 0:00:00,F,H,Q1069,rs,1967,Removed,,8/1/1972 0:00:00,12.16,,5.41,,
177,G-571,Q1068,4/18/1957 0:00:00,F,U,Q1068,d,1957,DEAD,4/23/1971 0:00:00,,6.25,14.00,,,
178,G-572,Q1068,4/24/1958 0:00:00,F,U,Q1068,du**,1958,DEAD,4/1/1968 0:00:00,,7.25,10.00,,,
179,G-890,Q1068,4/15/1959 0:00:00,M,U,Q1068,du,1959,DEAD,10/11/1965 0:00:00,,8.25,6.50,,,
180,I-239,Q1068,4/18/1960 0:00:00,F,A,Q1068,r,1960,Removed,,5/30/1960 0:00:00,9.25,,0.08,,
181,K-395,Q1067,1/1/1957 0:00:00,F,U,Q1067,du,1957,DEAD,6/10/1967 0:00:00,,6.00,10.41,,,
182,G-581,Q1067,2/1/1959 0:00:00,M,U,Q1067,d,1959,DEAD,2/25/1964 0:00:00,,8.08,5.00,,,
183,H-222,Q1067,3/5/1960 0:00:00,F,A,Q1067,d,1960,DEAD,11/1/1961 0:00:00,,9.16,1.66,,,
184,J-885,Q1067,2/18/1961 0:00:00,M,A,Q1067,rs,1961,Removed,,8/6/1971 0:00:00,10.08,,10.50,,
185,K-567,Q1067,3/19/1962 0:00:00,F,A,Q1067,du**,1962,DEAD,2/21/1977 0:00:00,,11.16,14.91,,,
186,I-282,Q1067,5/3/1963 0:00:00,M,A,Q1067,d**,1963,DEAD,10/27/1963 0:00:00,,12.33,0.41,,,
