UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
K-696,Q1064,1966/02/21,F,C,Q1064,rc,1966,Removed,,1969/03/26,11.08,,3.08,,
I-410,Q1064,1968/02/19,F,C,Q1064,rc,1968,Removed,,1968/12/16,13.08,,0.83,,
G-783,Q1062,1959/03/19,M,U,Q1062,du**,1959,DEAD,1973/09/06,,4.16,14.50,,,
K-727,Q1062,1960/04/03,F,A,Q1062,dm,1960,DEAD,1969/09/08,,5.25,9.41,,,
J-873,Q1062,1961/03/04,M,A,Q1062,d,1961,DEAD,1967/07/27,,6.16,6.33,,,
I-263,Q1062,1962/03/24,F,A,Q1062,dm,1962,DEAD,1962/09/11,,7.16,0.50,,,
I-281,Q1062,1963/03/04,M,A,Q1062,dm,1963,DEAD,1963/07/13,,8.16,0.33,,,
K-404,Q1061,1957/02/28,F,U,Q1061,rs**,1957,Removed,,1972/09/27,6.08,,15.58,,
G-459,Q1061,1958/03/18,M,U,Q1061,rc,1958,Removed,,1968/12/16,7.16,,10.75,,
K-339,Q1060,1956/01/01,F,U,Q1060,d**,1956,DEAD,1964/03/15,,5.00,8.16,,,
K-389,Q1060,1957/01/01,F,U,Q1060,dm,1957,DEAD,1958/04/24,,6.00,1.25,,,
K-338,Q1059,1956/01/01,F,U,Q1059,du**,1956,DEAD,1968/03/01,,5.00,12.16,,,
J-762,Q1059,1959/03/10,M,U,Q1059,rs**,1959,Removed,,1972/07/31,8.16,,13.33,,
I-236,Q1059,1960/03/21,M,A,Q1059,d,1960,DEAD,1961/01/01,,9.16,0.83,,,
K-068,Q1059,1961/03/06,M,A,Q1059,rk**,1961,Removed,,1972/03/20,10.16,,11.00,,
K-597,Q1059,1962/04/07,F,A,Q1059,rb,1962,Removed,,1971/11/05,11.25,,9.58,,
I-280,Q1059,1963/03/13,M,A,Q1059,dm,1963,DEAD,1964/08/07,,12.16,1.41,,,
G-994,Q1059,1964/02/28,M,A,Q1059,dz**,1964,DEAD,1973/10/17,,13.08,9.66,,,
J-915,Q1059,1965/03/09,M,A,Q1059,du,1965,DEAD,1992/12/21,,14.16,27.75,,,
G-007,Q1059,1966/03/11,F,A,Q1059,rs,1966,Removed,,1971/11/05,15.16,,5.66,,
F-907,Q1059,1967/03/11,M,A,Q1059,rb,1967,Removed,,1971/11/05,16.16,,4.66,,
F-637,Q1059,1969/04/09,M,A,Q1059,rp,1969,Removed,,1971/11/05,18.25,,2.58,,
G-463,Q1058,1958/03/21,F,U,Q1058,re**,1958,Removed,,1966/06/25,4.16,,8.25,,
